d3mIndex,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0,1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.0,2.0,2.0,2.0,1.2,1.2,1.2,1.2,1.4,false
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2,72.0,7.0,1.0,6.0,198.0,1134.13,0.05,20.31,55.85,23029.1,0.38,1279.39,51.0,10.0,8.0,1.0,17.0,36.0,112.0,86.0,13.0,true
3,190.0,3.0,1.0,3.0,600.0,4348.76,0.06,17.06,254.87,74202.67,1.45,4122.37,129.0,29.0,28.0,2.0,17.0,135.0,329.0,271.0,5.0,true
4,37.0,4.0,1.0,4.0,126.0,599.12,0.06,17.19,34.86,10297.3,0.2,572.07,28.0,1.0,6.0,0.0,11.0,16.0,76.0,50.0,7.0,true
5,31.0,2.0,1.0,2.0,111.0,582.52,0.08,12.25,47.55,7135.87,0.19,396.44,19.0,0.0,5.0,0.0,14.0,24.0,69.0,42.0,3.0,true
6,78.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,true
7,8.0,1.0,1.0,1.0,16.0,50.72,0.36,2.8,18.11,142.01,0.02,7.89,5.0,0.0,1.0,0.0,4.0,5.0,9.0,7.0,1.0,true
8,24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,true
9,143.0,22.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,true
10,73.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,true
11,83.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,true
12,12.0,3.0,1.0,1.0,37.0,167.37,0.15,6.87,24.34,1150.68,0.06,63.93,8.0,0.0,2.0,0.0,11.0,12.0,22.0,15.0,5.0,true
13,48.0,4.0,1.0,4.0,129.0,695.61,0.06,17.35,40.1,12067.3,0.23,670.41,29.0,1.0,16.0,0.0,19.0,23.0,87.0,42.0,7.0,true
14,68.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,true
15,138.0,22.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,true
16,10.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,6.0,0.0,4.0,4.0,5.0,4.0,1.0,true
17,250.0,49.0,34.0,16.0,1469.0,9673.31,0.01,97.0,99.72,938311.06,3.22,52128.39,139.0,92.0,17.0,0.0,32.0,64.0,1081.0,388.0,97.0,true
18,77.0,8.0,1.0,1.0,284.0,1160.84,0.02,40.95,28.35,47536.38,0.39,2640.91,59.0,0.0,16.0,0.0,7.0,10.0,167.0,117.0,15.0,true
19,85.0,9.0,1.0,7.0,277.0,1714.58,0.03,32.64,52.53,55961.02,0.57,3108.95,69.0,0.0,14.0,0.0,26.0,47.0,161.0,118.0,13.0,true
20,110.0,17.0,13.0,8.0,322.0,2069.26,0.03,33.41,61.94,69127.22,0.69,3840.4,81.0,13.0,14.0,0.0,27.0,59.0,176.0,146.0,33.0,true
21,49.0,6.0,6.0,3.0,171.0,927.89,0.04,25.33,36.63,23506.58,0.31,1305.92,34.0,0.0,13.0,0.0,19.0,24.0,107.0,64.0,11.0,true
22,187.0,35.0,26.0,16.0,526.0,3296.33,0.02,42.56,77.45,140300.03,1.1,7794.45,164.0,1.0,16.0,0.0,21.0,56.0,299.0,227.0,69.0,true
23,27.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,true
24,38.0,8.0,1.0,3.0,145.0,673.36,0.05,20.53,32.8,13824.9,0.22,768.05,29.0,0.0,7.0,0.0,9.0,16.0,72.0,73.0,15.0,true
25,294.0,43.0,33.0,24.0,814.0,5811.59,0.02,40.88,142.15,237606.8,1.94,13200.38,223.0,41.0,26.0,2.0,28.0,113.0,484.0,330.0,85.0,true
26,29.0,3.0,1.0,3.0,88.0,465.12,0.08,12.04,38.63,5599.99,0.16,311.11,21.0,0.0,6.0,0.0,14.0,25.0,45.0,43.0,5.0,true
27,160.0,5.0,4.0,3.0,698.0,4862.12,0.03,33.11,146.86,160969.13,1.62,8942.73,123.0,11.0,23.0,1.0,22.0,103.0,388.0,310.0,9.0,true
28,94.0,16.0,9.0,5.0,218.0,1236.59,0.03,34.52,35.83,42683.63,0.41,2371.31,66.0,19.0,6.0,1.0,22.0,29.0,127.0,91.0,31.0,true
29,48.0,3.0,1.0,3.0,157.0,927.38,0.08,13.09,70.84,12140.27,0.31,674.46,34.0,1.0,9.0,0.0,16.0,44.0,85.0,72.0,5.0,true
30,14.0,2.0,1.0,2.0,31.0,129.27,0.19,5.2,24.86,672.19,0.04,37.34,8.0,1.0,3.0,0.0,8.0,10.0,18.0,13.0,3.0,true
31,32.0,6.0,4.0,4.0,116.0,595.0,0.06,16.67,35.7,9916.61,0.2,550.92,26.0,0.0,4.0,0.0,14.0,21.0,66.0,50.0,11.0,true
32,11.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,6.0,0.0,4.0,4.0,5.0,4.0,1.0,true
33,20.0,3.0,1.0,1.0,31.0,118.03,0.11,9.0,13.11,1062.25,0.04,59.01,13.0,4.0,0.0,0.0,9.0,5.0,21.0,10.0,5.0,true
34,39.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
35,63.0,21.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,true
36,78.0,6.0,1.0,5.0,192.0,1072.31,0.04,28.21,38.01,30254.54,0.36,1680.81,45.0,6.0,19.0,6.0,20.0,28.0,113.0,79.0,11.0,true
37,209.0,26.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,true
38,6.0,2.0,1.0,1.0,21.0,82.04,0.17,6.0,13.67,492.27,0.03,27.35,4.0,0.0,0.0,0.0,10.0,5.0,15.0,6.0,3.0,true
39,44.0,13.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,true
40,24.0,3.0,1.0,1.0,52.0,224.74,0.06,16.71,13.45,3756.37,0.07,208.69,18.0,0.0,4.0,0.0,13.0,7.0,34.0,18.0,5.0,true
41,23.0,2.0,1.0,2.0,51.0,233.83,0.17,6.0,38.97,1403.0,0.08,77.94,19.0,0.0,2.0,0.0,9.0,15.0,31.0,20.0,3.0,true
42,69.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,true
