text,sentiment,Time of Tweet,Age of User,Country
" I`d have responded, if I were going",neutral,morning,0-20,Afghanistan
 Sooo SAD I will miss you here in San Diego!!!,negative,noon,21-30,Albania
my boss is bullying me...,negative,night,31-45,Algeria
 what interview! leave me alone,negative,morning,46-60,Andorra
" Sons of ****, why couldn`t they put them on the releases we already bought",negative,noon,60-70,Angola
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,night,70-100,Antigua and Barbuda
2am feedings for the baby are fun when he is all smiles and coos,positive,morning,0-20,Argentina
Soooo high,neutral,noon,21-30,Armenia
 Both of you,neutral,night,31-45,Australia
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,morning,46-60,Austria
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,noon,60-70,Azerbaijan
I really really like the song Love Story by Taylor Swift,positive,night,70-100,Bahamas
My Sharpie is running DANGERously low on ink,negative,morning,0-20,Bahrain
i want to go to music tonight but i lost my voice.,negative,noon,21-30,Bangladesh
test test from the LG enV2,neutral,night,31-45,Barbados
"Uh oh, I am sunburned",negative,morning,46-60,Belarus
" S`ok, trying to plot alternatives as we speak *sigh*",negative,noon,60-70,Belgium
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,night,70-100,Belize
is back home now      gonna miss every one,negative,morning,0-20,Benin
Hes just not that into you,neutral,noon,21-30,Bhutan
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,night,31-45,Bolivia
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,morning,46-60,Bosnia and Herzegovina
is cleaning the house for her family who is comming later today..,neutral,noon,60-70,Botswana
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,night,70-100,Brazil
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei
"the free fillin` app on my ipod is fun, im addicted",positive,noon,21-30,Bulgaria
  I`m sorry.,negative,night,31-45,Burkina Faso
On the way to Malaysia...no internet access to Twit,negative,morning,46-60,Burundi
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,noon,60-70,Côte d'Ivoire
Went to sleep and there is a power cut in Noida  Power back up not working too,negative,night,70-100,Cabo Verde
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,morning,0-20,Cambodia
i hope unni will make the audition . fighting dahye unni !,positive,noon,21-30,Cameroon
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,night,31-45,Canada
 That`s very funny.  Cute kids.,positive,morning,46-60,Central African Republic
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,noon,60-70,Chad
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,night,70-100,Chile
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,morning,0-20,China
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,noon,21-30,Colombia
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,night,31-45,Comoros
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,morning,46-60,Congo (Congo-Brazzaville)
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,noon,60-70,Costa Rica
im an avid fan of **** magazine and i love your magazines,positive,night,70-100,Croatia
MAYDAY?!,neutral,morning,0-20,Cuba
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,noon,21-30,Cyprus
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,positive,night,31-45,Czechia (Czech Republic)
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,noon,60-70,Denmark
:visiting my friendster and facebook,neutral,night,70-100,Djibouti
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,morning,0-20,Dominica
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,night,31-45,Ecuador
" also bored at school, its my third freelesson( freistunde )",neutral,morning,46-60,Egypt
 hm... Both of us I guess...,neutral,noon,60-70,El Salvador
 it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea
 romance zero is funny,positive,morning,0-20,Eritrea
 I`d rather do the early run..but I am a morning runner,neutral,noon,21-30,Estonia
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")"
will be back later.  http://plurk.com/p/rp3k7,neutral,morning,46-60,Ethiopia
Aw. Torn ace of hearts  #Hunchback,negative,noon,60-70,Fiji
 what fun are you speaking of?,neutral,night,70-100,Finland
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,morning,0-20,France
 haha yes,neutral,noon,21-30,Gabon
I give in to easily,negative,night,31-45,Gambia
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,morning,46-60,Georgia
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,noon,60-70,Germany
Is at a photoshoot.,neutral,night,70-100,Ghana
  He`s awesome... Have you worked with him before? He`s a good friend.,positive,morning,0-20,Greece
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,noon,21-30,Grenada
Chilliin,positive,night,31-45,Guatemala
" If you know such agent, do let me know",neutral,morning,46-60,Guinea
I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau
 a celtics-lakers rematch sounds better don`t you think? lol,positive,night,70-100,Guyana
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,morning,0-20,Haiti
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,noon,21-30,Holy See
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,night,31-45,Honduras
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,noon,60-70,Iceland
 My sources say no,neutral,night,70-100,India
I am sooo tired,negative,morning,0-20,Indonesia
" Hey, you change your twitter account, and you didn`t even tell me...",neutral,noon,21-30,Iran
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq
 lucky kid...i so wanna see loserville  pity im in oz....,positive,morning,46-60,Ireland
fell asleep waiting for my ride!,neutral,noon,60-70,Israel
Sick. With a flu like thing.,negative,night,70-100,Italy
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,morning,0-20,Jamaica
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,Japan
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,night,31-45,Jordan
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,morning,46-60,Kazakhstan
i miss you bby      wish you were going tomorrow to make me do good.,negative,noon,60-70,Kenya
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,night,70-100,Kiribati
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive,morning,0-20,Kuwait
_Mounce yes and it lasts way past my bedtime!,neutral,noon,21-30,Kyrgyzstan
 Hi  how are you doing ???  *just joined twitter...*,neutral,night,31-45,Laos
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,morning,46-60,Latvia
eating ice cream and then getting ready for graduation.,neutral,noon,60-70,Lebanon
Happy Mothers day to all you Mums out there,positive,night,70-100,Lesotho
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,morning,0-20,Liberia
 hemp cloth is marvelous but unfortunately no,negative,noon,21-30,Libya
Gonna read a story bout adam lambert online then bed. Nighty night,neutral,night,31-45,Liechtenstein
 We saw that in none 3D - the baddie`s the best,positive,morning,46-60,Lithuania
4am. And Im on the beach. Pretty,positive,noon,60-70,Luxembourg
" Certainly not Cheers than, huh?",neutral,night,70-100,Madagascar
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,morning,0-20,Malawi
i realy wanted to go out cause its so nice but everybodys busy,negative,noon,21-30,Malaysia
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,night,31-45,Maldives
at least I get to watch over time  Let`s go Pens!!,neutral,morning,46-60,Mali
 cool i wear black most of the time when i go out,neutral,noon,60-70,Malta
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,night,70-100,Marshall Islands
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,morning,0-20,Mauritania
" woof, I wish I was allowed to go",positive,noon,21-30,Mauritius
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,night,31-45,Mexico
  has tickets.......?,neutral,morning,46-60,Micronesia
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,noon,60-70,Moldova
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,morning,0-20,Mongolia
So many tests todayyy  I don`t feel confident about anyy.,negative,noon,21-30,Montenegro
graduation is done  im a little sad.. anyone want to hang out???,negative,night,31-45,Morocco
 hahaa your awesomee !,positive,morning,46-60,Mozambique
holy smokes! star trek was freaking awesomeeeee,positive,noon,60-70,Myanmar (formerly Burma)
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,night,70-100,Namibia
" I had it! On my itunes, but then I lost all my songs.",neutral,morning,0-20,Nauru
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,noon,21-30,Nepal
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,night,31-45,Netherlands
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,morning,46-60,New Zealand
not well,negative,noon,60-70,Nicaragua
 Not a prob hun,positive,night,70-100,Niger
"at dads, watching some mtv and am going on sims2 in a minutee",neutral,morning,0-20,Nigeria
 Absolutely,neutral,noon,21-30,North Korea
