d3mIndex,Company,Date,Close
0,abbv,1/4/2013,28.81
1,abbv,1/7/2013,28.869
2,abbv,1/8/2013,28.241999999999997
3,abbv,1/9/2013,28.399
4,abbv,1/10/2013,28.480999999999998
5,abbv,1/11/2013,28.695
6,abbv,1/14/2013,28.899
7,abbv,1/15/2013,29.331999999999997
8,abbv,1/16/2013,30.127
9,abbv,1/17/2013,30.875
10,abbv,1/18/2013,31.636999999999997
11,abbv,1/22/2013,30.875
12,abbv,1/23/2013,32.044000000000004
13,abbv,1/24/2013,31.756
14,abbv,1/25/2013,31.874000000000002
15,abbv,1/28/2013,31.272
16,abbv,1/29/2013,31.63
17,abbv,1/30/2013,31.31
18,abbv,1/31/2013,31.103
19,abbv,2/1/2013,31.519000000000002
20,abbv,2/4/2013,31.604
21,abbv,2/5/2013,31.535
22,abbv,2/6/2013,31.484
23,abbv,2/7/2013,30.875
24,abbv,2/8/2013,30.73
25,abbv,2/11/2013,30.391
26,abbv,2/12/2013,30.026
27,abbv,2/13/2013,29.897
28,abbv,2/14/2013,31.002
29,abbv,2/15/2013,31.857
30,abbv,2/19/2013,32.375
31,abbv,2/20/2013,32.731
32,abbv,2/21/2013,32.876
33,abbv,2/22/2013,32.603
34,abbv,2/25/2013,31.68
35,abbv,2/26/2013,31.441
36,abbv,2/27/2013,31.136
37,abbv,2/28/2013,31.3
38,abbv,3/1/2013,32.053000000000004
39,abbv,3/4/2013,32.417
40,abbv,3/5/2013,31.799
41,abbv,3/6/2013,31.994
42,abbv,3/7/2013,31.78
43,abbv,3/8/2013,31.651999999999997
44,abbv,3/11/2013,31.933000000000003
45,abbv,3/12/2013,31.51
46,abbv,3/13/2013,31.51
47,abbv,3/14/2013,31.84
48,abbv,3/15/2013,32.638000000000005
49,abbv,3/18/2013,32.348
50,abbv,3/19/2013,32.518
51,abbv,3/20/2013,33.111
52,abbv,3/21/2013,32.628
53,abbv,3/22/2013,33.035
54,abbv,3/25/2013,33.330999999999996
55,abbv,3/26/2013,34.085
56,abbv,3/27/2013,34.038000000000004
57,abbv,3/28/2013,34.571
58,abbv,4/1/2013,34.86
59,abbv,4/2/2013,34.510999999999996
60,abbv,4/3/2013,34.391999999999996
61,abbv,4/4/2013,35.265
62,abbv,4/5/2013,35.018
63,abbv,4/8/2013,35.409
64,abbv,4/9/2013,36.071
65,abbv,4/10/2013,36.976
66,abbv,4/11/2013,36.959
67,abbv,4/12/2013,36.866
68,abbv,4/15/2013,35.455
69,abbv,4/16/2013,36.318000000000005
70,abbv,4/17/2013,36.141999999999996
71,abbv,4/18/2013,36.207
72,abbv,4/19/2013,36.268
73,abbv,4/22/2013,37.817
74,abbv,4/23/2013,38.62
75,abbv,4/24/2013,37.919000000000004
76,abbv,4/25/2013,37.847
77,abbv,4/26/2013,39.219
78,abbv,4/29/2013,38.698
79,abbv,4/30/2013,39.398
80,abbv,5/1/2013,38.972
81,abbv,5/2/2013,37.635
82,abbv,5/3/2013,38.226
83,abbv,5/6/2013,38.15
84,abbv,5/7/2013,38.423
85,abbv,5/8/2013,37.208
86,abbv,5/9/2013,37.847
87,abbv,5/10/2013,38.507
88,abbv,5/13/2013,38.107
89,abbv,5/14/2013,38.8
90,abbv,5/15/2013,39.38
91,abbv,5/16/2013,39.535
92,abbv,5/17/2013,40.356
93,abbv,5/20/2013,39.58
94,abbv,5/21/2013,39.818000000000005
95,abbv,5/22/2013,40.008
96,abbv,5/23/2013,39.86
97,abbv,5/24/2013,38.876999999999995
98,abbv,5/28/2013,38.833
99,abbv,5/29/2013,37.542
100,abbv,5/30/2013,38.116
101,abbv,5/31/2013,36.523
102,abbv,6/3/2013,37.096
103,abbv,6/4/2013,37.329
104,abbv,6/5/2013,36.825
105,abbv,6/6/2013,37.217
106,abbv,6/7/2013,37.641999999999996
107,abbv,6/10/2013,37.577
108,abbv,6/11/2013,37.294000000000004
109,abbv,6/12/2013,36.592
110,abbv,6/13/2013,36.917
111,abbv,6/14/2013,36.969
112,abbv,6/17/2013,36.796
113,abbv,6/18/2013,37.25
114,abbv,6/19/2013,36.825
115,abbv,6/20/2013,35.129
116,abbv,6/21/2013,36.465
117,abbv,6/24/2013,35.841
118,abbv,6/25/2013,36.473
119,abbv,6/26/2013,37.114000000000004
120,abbv,6/27/2013,36.899
121,abbv,6/28/2013,35.369
122,abbv,7/1/2013,35.601
123,abbv,7/2/2013,36.111999999999995
124,abbv,7/3/2013,36.132
125,abbv,7/5/2013,36.549
126,abbv,7/8/2013,37.371
127,abbv,7/9/2013,37.064
128,abbv,7/10/2013,37.569
129,abbv,7/11/2013,37.801
130,abbv,7/12/2013,38.898
131,abbv,7/15/2013,38.525
132,abbv,7/16/2013,37.828
133,abbv,7/17/2013,37.954
134,abbv,7/18/2013,38.268
135,abbv,7/19/2013,38.44
136,abbv,7/22/2013,38.829
137,abbv,7/23/2013,38.26
138,abbv,7/24/2013,37.68
139,abbv,7/25/2013,38.199
140,abbv,7/26/2013,38.672
141,abbv,7/29/2013,38.907
142,abbv,7/30/2013,38.597
143,abbv,7/31/2013,39.269
144,abbv,8/1/2013,39.069
145,abbv,8/2/2013,39.13
146,abbv,8/5/2013,38.605
147,abbv,8/6/2013,38.751999999999995
148,abbv,8/7/2013,38.485
149,abbv,8/8/2013,38.907
150,abbv,8/9/2013,38.605
151,abbv,8/12/2013,38.889
152,abbv,8/13/2013,38.794000000000004
153,abbv,8/14/2013,38.493
154,abbv,8/15/2013,37.309
155,abbv,8/16/2013,37.129
156,abbv,8/19/2013,37.446
157,abbv,8/20/2013,37.101
158,abbv,8/21/2013,36.532
159,abbv,8/22/2013,37.059
160,abbv,8/23/2013,37.499
161,abbv,8/26/2013,37.515
162,abbv,8/27/2013,36.806999999999995
163,abbv,8/28/2013,36.75
164,abbv,8/29/2013,36.798
165,abbv,8/30/2013,36.788000000000004
166,abbv,9/3/2013,36.773
167,abbv,9/4/2013,37.244
168,abbv,9/5/2013,37.567
169,abbv,9/6/2013,37.896
170,abbv,9/9/2013,38.361999999999995
171,abbv,9/10/2013,38.664
172,abbv,9/11/2013,38.811
173,abbv,9/12/2013,38.597
174,abbv,9/13/2013,38.759
175,abbv,9/16/2013,39.562
176,abbv,9/17/2013,41.099
177,abbv,9/18/2013,41.373999999999995
178,abbv,9/19/2013,40.926
179,abbv,9/20/2013,41.303000000000004
180,abbv,9/23/2013,40.668
181,abbv,9/24/2013,39.702
182,abbv,9/25/2013,39.139
183,abbv,9/26/2013,38.855
184,abbv,9/27/2013,38.274
185,abbv,9/30/2013,38.621
186,abbv,10/1/2013,39.545
187,abbv,10/2/2013,39.675
188,abbv,10/3/2013,39.725
189,abbv,10/4/2013,40.408
190,abbv,10/7/2013,39.798
191,abbv,10/8/2013,38.437
192,abbv,10/9/2013,38.69
193,abbv,10/10/2013,39.798
194,abbv,10/11/2013,39.77
195,abbv,10/14/2013,40.363
196,abbv,10/15/2013,40.144
197,abbv,10/16/2013,41.0
198,abbv,10/17/2013,41.965
199,abbv,10/18/2013,42.105
200,abbv,10/21/2013,42.123000000000005
201,abbv,10/22/2013,42.688
202,abbv,10/23/2013,42.105
203,abbv,10/24/2013,41.758
204,abbv,10/25/2013,42.951
205,abbv,10/28/2013,43.055
206,abbv,10/29/2013,43.376999999999995
207,abbv,10/30/2013,42.516000000000005
208,abbv,10/31/2013,42.211000000000006
209,abbv,11/26/2013,42.341
210,abbv,12/26/2013,46.166000000000004
211,abbv,1/2/2014,45.285
212,abbv,1/3/2014,45.56399999999999
213,abbv,1/6/2014,43.9
214,abbv,1/7/2014,43.988
215,abbv,1/8/2014,43.873999999999995
216,abbv,1/9/2014,44.623999999999995
217,abbv,1/10/2014,44.343999999999994
218,abbv,1/13/2014,43.755
219,abbv,1/14/2014,44.431999999999995
220,abbv,1/15/2014,44.001999999999995
221,abbv,1/16/2014,44.343999999999994
222,abbv,1/17/2014,43.957
223,abbv,1/21/2014,43.905
224,abbv,1/22/2014,43.098
225,abbv,1/23/2014,42.913999999999994
226,abbv,1/24/2014,41.965
227,abbv,1/27/2014,41.121
228,abbv,1/28/2014,41.876000000000005
229,abbv,1/29/2014,41.806000000000004
230,abbv,1/30/2014,42.422
231,abbv,1/31/2014,43.228
232,abbv,2/3/2014,41.581
233,abbv,2/4/2014,42.105
234,abbv,2/5/2014,41.913000000000004
235,abbv,2/6/2014,42.088
236,abbv,2/7/2014,42.931000000000004
237,abbv,2/10/2014,43.50899999999999
238,abbv,2/11/2014,43.607
239,abbv,2/12/2014,44.397
240,abbv,2/13/2014,44.213
241,abbv,2/14/2014,44.54600000000001
242,abbv,2/18/2014,45.188
243,abbv,2/19/2014,44.95
244,abbv,2/20/2014,45.54
